name,count
Ilse Aigner,809
Anton Hofreiter,782
Christian Schmidt,601
Renate Künast,386
Katrin Göring-Eckardt,252
Robert Habeck,229
Gerd Müller,210
Julia Klöckner,154
Claudia Roth,143
Jürgen Trittin,143
Dorothee Bär,142
Alexander Dobrindt,139
Markus Söder,137
Cem Özdemir,136
Andreas Scheuer,135
Winfried Kretschmann,109
Hans-Peter Friedrich,109
Horst Seehofer,107
Joachim Herrmann,104
Ursula von der Leyen,100
Christian Lindner,98
Peter Altmaier,97
Hermann Gröhe,88
Simone Peter,83
Konstantin von Notz,81
Wolfgang Kubicki,81
Boris Palmer,73
Karl-Theodor zu Guttenberg,71
Norbert Röttgen,71
Thomas de Maizière,67
Rebecca Harms,64
Alexander Graf Lambsdorff,57
Ska Keller,56
Annegret Kramp-Karrenbauer,55
Annette Widmann-Mauz,55
Jens Spahn,54
Peter Tauber,50
Katja Suding,48
Volker Kauder,48
Manfred Weber,45
Sven Giegold,42
Hermann Otto Solms,40
Günther Oettinger,39
Philipp Rösler,38
Ralph Brinkhaus,37
Nicola Beer,35
Volker Bouffier,32
Johanna Wanka,31
Wolfgang Schäuble,28
Armin Laschet,25
Omid Nouripour,24
Jens Weidmann,23
Gesine Meißner,23
Marie-Agnes Strack-Zimmermann,18
Volker Wissing,12
Johannes Vogel,11
Werner Hoyer,10
Carl-Ludwig Thiele,9
Michael Theurer,5
